N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  
 , ,5000 , 2500, S, 12, 12, ,4 , 0.258998,1.2463e-05 ,5.571e-06 ,1.2053e-05, 
 , ,5000 , 2500, S, 12, 12, ,9 , 0.258813,1.6631e-05 ,6.001e-06 ,7.654e-06, 
 , ,5000 , 2500, S, 12, 12, ,11 , 0.258864,2.0478e-05 ,5.541e-06 ,3.957e-06, 
 , ,5000 , 2500, S, 12, 12, ,1 , 0.258764,1.3205e-05 ,6.051e-06 ,1.1041e-05, 
 , ,5000 , 2500, S, 12, 12, ,3 , 0.258898,1.5229e-05 ,6.031e-06 ,8.737e-06, 
 , ,5000 , 2500, S, 12, 12, ,5 , 0.258949,1.6611e-05 ,5.821e-06 ,7.525e-06, 
 , ,5000 , 2500, S, 12, 12, ,7 , 0.258907,1.8054e-05 ,5.781e-06 ,6.602e-06, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 12, ,2 , 0.22324,1.0049e-05 ,5.811e-06 ,1.5539e-05, 
 , ,5000 , 2500, S, 12, 12, ,4 , 0.221857,1.2794e-05 ,6.082e-06 ,1.2002e-05, 
 , ,5000 , 2500, S, 12, 12, ,6 , 0.223238,1.3635e-05 ,5.8e-06 ,1.2013e-05, 
 , ,5000 , 2500, S, 12, 12, ,8 , 0.222729,1.2794e-05 ,5.441e-06 ,1.2573e-05, 
 , ,5000 , 2500, S, 12, 12, ,10 , 0.223265,1.3395e-05 ,5.53e-06 ,1.1892e-05, 
 , ,5000 , 2500, S, 12, 12, ,0 , 0.222373,9.147e-06 ,6.302e-06 ,1.5318e-05, 
 , ,5000 , 2500, S, 12, 12, ,1 , 0.223082,1.3074e-05 ,5.791e-06 ,1.2554e-05, 
 , ,5000 , 2500, S, 12, 12, ,3 , 0.223093,1.5169e-05 ,5.921e-06 ,1.0089e-05, 
 , ,5000 , 2500, S, 12, 12, ,5 , 0.223092,1.7182e-05 ,5.721e-06 ,8.285e-06, 
 , ,5000 , 2500, S, 12, 12, ,7 , 0.223024,1.7723e-05 ,5.701e-06 ,7.294e-06, 
 , ,5000 , 2500, S, 12, 12, ,9 , 0.222981,1.7153e-05 ,5.71e-06 ,7.975e-06, 
 , ,5000 , 2500, S, 12, 12, ,11 , 0.222933,2.0669e-05 ,6.031e-06 ,4.118e-06, 
1, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 15, ,0 , 0.237636,1.2643e-05 ,5.259e-06 ,1.4988e-05, 
 , ,5000 , 2500, S, 12, 15, ,2 , 0.237641,1.2082e-05 ,5.039e-06 ,1.5018e-05, 
 , ,5000 , 2500, S, 12, 15, ,4 , 0.236223,1.2554e-05 ,5.26e-06 ,1.3675e-05, 
 , ,5000 , 2500, S, 12, 15, ,6 , 0.237811,1.3996e-05 ,5.22e-06 ,1.2744e-05, 
 , ,5000 , 2500, S, 12, 15, ,8 , 0.23777,1.3255e-05 ,5.36e-06 ,1.3024e-05, 
 , ,5000 , 2500, S, 12, 15, ,10 , 0.237754,1.4397e-05 ,4.919e-06 ,1.2925e-05, 
